"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Acanthacris_ruficornis",4,179.50881875,208.346912228225,63.0800806862525,276,-0.457166401255256,0.276,999
"Achatina_fulica",137,249.583062170938,272.952909615205,13.4506468598242,23,-1.7374515655504,0.023,999
"Acoloithus_falsarius",1,NA,NA,NA,NA,NA,NA,999
"Agriotes_lineatus",25,289.307508012863,262.823767534018,29.1994163721553,786,0.906995542010222,0.786,999
"Agrotis_segetum",72,256.738458918507,269.893341794819,18.1703163582184,261,-0.723976545975882,0.261,999
"Albonectria_rigidiuscula",78,259.21337311975,269.817386786063,17.0784092990539,274,-0.620901717521193,0.274,999
"Aleurocanthus_spiniferus",12,218.938761027747,250.922479599838,41.2186875223718,155,-0.775951892081265,0.155,999
"Alfalfa_mosaic_virus",72,207.973596862277,270.545638943823,18.3788358616276,1,-3.40457048273595,0.001,999
"Alternaria_alternata",1081,268.208980265149,273.985991368878,4.48311039146464,103,-1.28861674134272,0.103,999
"Altica_ampelophaga",1,NA,NA,NA,NA,NA,NA,999
"Ameroseius_sp.",1,NA,NA,NA,NA,NA,NA,999
"Ampeloglypter_ater",1,NA,NA,NA,NA,NA,NA,999
"Ampelophaga_rubiginosa",7,151.877668897959,234.439068089695,49.9921611422715,1,-1.6514868992516,0.001,999
"Amphicerus_bimaculatus",2,121.2872535,138.094359275762,59.405544789157,267,-0.282921498917557,0.267,999
"Amphicerus_hamatus",1,NA,NA,NA,NA,NA,NA,999
"Amyelois_transitella",5,184.08476464,218.797099420147,56.6398769855424,140,-0.61286034906127,0.14,999
"Anacridium_rubrispinum",4,192.106826375,203.95015018705,58.9234663256876,650,-0.200995028815664,0.65,999
"Anastrepha_fraterculus",67,224.587822870127,270.460224806972,18.8107323210768,1,-2.43862924387301,0.001,999
"Anomala_cuprea",4,335.976452625,205.464163361381,59.5529053293977,907,2.19153521632123,0.907,999
"Anomala_dubia",2,325.050028,140.271995741744,62.5336238822444,949,2.95485885491311,0.949,999
"Antispila_oinophylla",1,NA,NA,NA,NA,NA,NA,999
"Anystis_baccarum",2,121.287254,137.17790262312,57.8578658917917,284,-0.274649753809437,0.284,999
"Aonidiella_aurantii",227,288.308988499917,272.446677136317,10.0517406301371,928,1.5780661228008,0.928,999
"Aonidiella_inornata",37,283.310757118772,266.196641188785,24.7606256975623,769,0.691182692191491,0.769,999
"Aonidiella_orientalis",228,255.870612933511,273.250160742099,10.2962734037147,40,-1.68794544658433,0.04,999
"Apate_monachus",32,224.357176730859,264.573375948109,25.7209554687134,2,-1.56355774831804,0.002,999
"Aphis_fabae",65,229.397470821311,270.530176879305,19.4349141014801,1,-2.11643364324732,0.001,999
"Aphis_gossypii",86,237.43181251391,272.129291353313,17.3512893765636,5,-1.9997060786888,0.005,999
