"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Alternaria_alternata",757,43.0262829752497,48.8773339163649,1.52293573693566,1,-3.84195524421027,0.001,999
"Ampeloglypter_ater",0,NA,NA,NA,NA,NA,NA,999
"Aspergilus_niger",1,NA,NA,NA,NA,NA,NA,999
"Botrytis_cinerea",839,46.2777043272354,47.2080975848073,1.3278438679836,244,-0.700679710924699,0.244,999
"Calosphaeria_alnicola",3,230.686834333333,258.246580899873,64.5158156246904,221.5,-0.427178146934752,0.2215,999
"closterovirus ",0,NA,NA,NA,NA,NA,NA,999
"Daktulosphaira_vitifoliae",0,NA,NA,NA,NA,NA,NA,999
"Elsino‘_ampelina",5,51.0681318,239.284295779388,54.5354761795002,1,-3.45126103529171,0.001,999
"Erostella_minima",1,NA,NA,NA,NA,NA,NA,999
"Erysiphe_necator ",5,55.6935488,242.067411950576,54.2780713732902,1,-3.43368617261315,0.001,999
"Eutypa_lata",98,57.3725338709388,103.650126129655,8.37790898016513,1,-5.5237640285039,0.001,999
"Grapevine Leafroll_Associated Viruses",0,NA,NA,NA,NA,NA,NA,999
"Grapevinephytoplasma_diseases",0,NA,NA,NA,NA,NA,NA,999
"Greeneria_uvicola",2,51.513832,293.305065009376,139.245089679326,11,-1.73644351528811,0.011,999
"Guignardia_Bidwellii",11,61.1045390909091,210.014814395602,37.5221839428469,1,-3.96859296707012,0.001,999
"Helicotylenchus_pseudorobustus",0,NA,NA,NA,NA,NA,NA,999
"Lasiodiplodia_theobromae",529,48.3834817053353,55.6252175693001,2.11619144536525,1,-3.42206083472516,0.001,999
"Meloidogyne_arenaria",4,215.659286750075,243.858819792784,57.1315198673524,231,-0.493589757601094,0.231,999
"Meloidogyne_hapla",2,271.5161290003,290.897010132112,136.319081780261,778,-0.142172914303024,0.778,999
"Meloidogyne_incognita",11,148.041068909091,207.134134301596,36.6955706280219,51,-1.61035962600291,0.051,999
"Meloidogyne_javanica",3,116.299827333267,260.008636530835,74.3941615025157,24,-1.93172160684556,0.024,999
"Mesocriconema_xenoplax",96,57.6412222708334,104.750217506521,8.73221503282609,1,-5.39485056868112,0.001,999
"Mycosphaerella_angulata",1,NA,NA,NA,NA,NA,NA,999
"Otiorhynchus_sulcatus",1,NA,NA,NA,NA,NA,NA,999
"Paratrichodorus_minor",58,82.4800091035621,126.176346756446,11.8331998019577,1,-3.69268992193087,0.001,999
"Phaeoacremonium_aleophilum",3,371.080771,258.078059153794,64.6810482454127,859,1.74707607423818,0.859,999
"Phaeoacremonium_minimum",9,281.872951222222,216.918285564234,38.8042779195825,964,1.67390476360877,0.964,999
"Phaeomoniella_aleophilum",1,NA,NA,NA,NA,NA,NA,999
"Phaeomoniella_chlamydospora",1,NA,NA,NA,NA,NA,NA,999
"Phomopsis_viticola",2,51.513832,293.305065009376,139.245089679326,11,-1.73644351528811,0.011,999
"Planococcus_ficus",1,NA,NA,NA,NA,NA,NA,999
"Plasmopara_viticola",24,58.7329419166667,170.76414837718,23.5907822203668,1,-4.74893987889019,0.001,999
"Pleurostoma_minimum",2,237.157207,291.342799256231,136.907299598882,188,-0.395783076687559,0.188,999
"Popillia_japonica",1,NA,NA,NA,NA,NA,NA,999
"Pseudocercospora_vitis",9,56.233176,218.368558242594,39.7799777576649,1,-4.07580374303636,0.001,999
"Pseudococcus_longispinus",89,90.7022851225843,107.383580328197,8.89724281384573,26,-1.87488366392039,0.026,999
"Pseudococcus_viburni",106,75.3996945096038,101.017606369327,8.26304628503473,2,-3.10029872471123,0.002,999
"Pseudopezicula_tetrsaspora",5,55.6935488,242.067411950576,54.2780713732902,1,-3.43368617261315,0.001,999
"Sourrot_yeasts",0,NA,NA,NA,NA,NA,NA,999
"Togninia_minima",2,247.468473,291.435181388362,135.2381677982,474,-0.325105767877365,0.474,999
"TomRSV",4,108.30282275,246.66913841304,58.2275467066397,3,-2.37630337338705,0.003,999
"Tylenchorhynchus_clarus",19,143.257884263158,181.465064283818,25.9907413938411,69,-1.47003040204592,0.069,999
"Tylenchulus_semipenetrans",3,235.244557666667,257.495243904136,69.0039108179297,333,-0.322455437289326,0.333,999
"Xiphinema_americanum",77,77.1163360778806,113.68111394673,10.1161147047216,1,-3.61450803358166,0.001,999
"Xiphinema_index",4,97.9795452500001,248.511649629609,59.6940890896023,3,-2.52172546185697,0.003,999
"Xylella_fastidiosa",22,73.6211542272728,173.776703927934,24.1005224187547,1,-4.15574185324386,0.001,999
