"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Acanthacris_ruficornis",44,24.9101808181818,140.122072899881,16.3895544909885,1,-7.02959266800367,0.01,99
"Achatina_fulica",361,41.0425210954321,64.7018419053804,3.02472866095371,1,-7.82196469897184,0.01,99
"Acoloithus_falsarius",1,NA,NA,NA,NA,NA,NA,99
"Adoretus_sinicus",197,70.4765616198336,81.0269877015382,5.13505223762504,2,-2.05458982566928,0.02,99
"Agriotes_lineatus",123,18.7156495365854,98.2943416832798,7.90598518712775,1,-10.0656262645498,0.01,99
"Agrotis_segetum",177,31.9429433164068,84.7442826677624,5.52369673252405,1,-9.55905834591829,0.01,99
"Albonectria_rigidiuscula",62,82.0690950970323,124.383305252866,14.3652400116399,1,-2.94559715824776,0.01,99
"Aleurocanthus_spiniferus",173,35.0966575086706,86.038395083713,5.67531138160985,1,-8.9760251287908,0.01,99
"Alfalfa_mosaic_virus",108,43.6129064074074,102.330138757552,9.06358461353381,1,-6.47836753931416,0.01,99
"Alternaria_alternata",1092,36.9673862146624,42.4896107917396,1.28850444826392,1,-4.28576291259031,0.01,99
"Altica_ampelophaga",1,NA,NA,NA,NA,NA,NA,99
"Amaranthus_blitum",11,150.169218363636,200.721389049657,35.2676705078055,9,-1.43338558963888,0.09,99
"Ameroseius_pavidus",1,NA,NA,NA,NA,NA,NA,99
"Ametastegia",242,18.8848386198347,75.8193675760191,4.11944180779398,1,-13.8209329352497,0.01,99
"Ampelophaga_rubiginosa",6,107.512135333333,225.79320701515,50.6681453308974,1,-2.33442670753708,0.01,99
"Amphicerus_bicaudatus",1,NA,NA,NA,NA,NA,NA,99
"Amphicerus_bimaculatus",2,242.574508,278.800793686869,119.930282488523,30,-0.302061205353497,0.3,99
"Amyelois_transitella",39,37.7029212051282,146.418220798691,17.698966718637,1,-6.1424659033392,0.01,99
"Anacridium_rubrispinum",20,43.4040820500001,181.258354993351,24.2671760315249,1,-5.68068871154467,0.01,99
"Anagallis_arvensis",42,61.4398211428571,141.400248195871,17.3348589411854,1,-4.61269557048649,0.01,99
"Anastrepha_fraterculus",149,42.3486708590604,91.3918431634557,6.51057956522106,1,-7.53284278505396,0.01,99
"Anomala_cuprea",9,147.757664444444,212.852987068478,37.948763384188,2,-1.71534766403366,0.02,99
"Anomala_dubia",2,650.100056,277.921177302966,122.045099496861,95,3.04951923699819,0.95,99
"Antispila_oinophylla",1,NA,NA,NA,NA,NA,NA,99
"Anystis_baccarum",2,242.574508,278.800793686869,119.930282488523,30,-0.302061205353497,0.3,99
"Aonidiella_aurantii",1531,21.4692018639131,37.7189252514895,1.09135050301339,1,-14.889555044606,0.01,99
"Aonidiella_inornata",248,28.1529721191048,75.031218239061,4.19626829666081,1,-11.1714129807333,0.01,99
"Aonidiella_orientalis",1139,28.9115053505318,42.013101061695,1.37506769797766,1,-9.52796413618904,0.01,99
"Apate_monachus",143,37.3150664363636,92.0258942245014,6.40278365766369,1,-8.54485028908523,0.01,99
"Aphis_fabae",299,24.4150947491649,70.0379012991777,3.40418703549927,1,-13.4019682450619,0.01,99
"Aphis_gossypii",154,45.1736621281089,90.1009661543329,6.81355513897665,1,-6.59381235050398,0.01,99
"Aphis_illinoisensis",1,NA,NA,NA,NA,NA,NA,99
"Aphis_spiraecola",355,20.4734334535212,65.1046293179225,3.3896980343133,1,-13.1667173336999,0.01,99
"Arabis_mosaic_virus",158,84.668740727857,88.0552386516848,5.82801398705091,28,-0.581072374114437,0.28,99
"Arboridia_adanae",1,NA,NA,NA,NA,NA,NA,99
"Arboridia_kakogowana",1,NA,NA,NA,NA,NA,NA,99
"Argyrotaenia_ljungiana",6,174.884002,227.732967330639,51.2571715065314,14,-1.03105504610032,0.14,99
"Armillaria_luteobubalina",357,29.8768252913165,64.9269972000934,2.87440865804252,1,-12.1938722285391,0.01,99
"Armillaria_mellea",1135,31.9563531797484,42.0635650032196,1.32574330897995,1,-7.62380753122397,0.01,99
"Artichoke_Italian_latent_virus",14,82.8546794285714,190.311358432519,28.0783751123156,1,-3.82702626395271,0.01,99
"Aspergillus_niger",361,45.8597592240141,64.2033351992176,3.00071374868713,1,-6.11307092628519,0.01,99
"Aspidiotus_destructor",855,30.3769348348923,46.6468370793925,1.69400077022298,1,-9.60442434884997,0.01,99
"Aspidiotus_ligusticus",22,36.8639073636363,174.708507589558,24.896790448546,1,-5.53664137997241,0.01,99
"Aspidiotus_nerii",1892,24.2865099295529,35.0139956659548,0.778905609035447,1,-13.7725105737604,0.01,99
"Asterococcus_muratae",202,35.4899902079198,80.960836851166,5.07681513857969,1,-8.956569306159,0.01,99
"Asymmetrasca_decedens",75,20.4509044533334,118.553359421309,11.9202373580599,1,-8.22990784672954,0.01,99
"Autographa_gamma",46,51.7867760869566,138.55578671637,13.5892049944345,1,-6.38514252047494,0.01,99
"Bactrocera_tryoni",142,54.6881197967253,92.766280746843,5.98748020393342,1,-6.35963037090338,0.01,99
"Botryosphaeria_dothidea",475,54.3739391151722,57.8004657405685,2.23185088359858,8,-1.5352847497909,0.08,99
"Botryosphaeria_obtusa",246,44.4308250533041,75.0195110496009,4.69040484126351,1,-6.52154494793179,0.01,99
"Botryosphaeria_parva",293,43.3304644368805,69.9920473445012,3.62189075486182,1,-7.36123332042296,0.01,99
"Botryosphaeria_stevensii",204,27.5821249039216,80.2494263880184,4.81884977803636,1,-10.9294341824364,0.01,99
"Botryotinia_fuckeliana",1148,41.4901436443939,41.8822747451267,1.22710442925155,35,-0.31955805177228,0.35,99
"Botryotinia_pseudofuckeliana",6,162.012895666767,225.205983944476,48.5900911463123,6,-1.30053446673779,0.06,99
"Botrytis_prunorum",4,173.2440135,238.02689535355,56.1745824130565,12,-1.15324189465613,0.12,99
"Botrytis_pseudocinerea",24,51.0402527083584,168.383453302648,22.6907458342413,1,-5.17141223349361,0.01,99
"Brevipalpus_californicus",131,33.4101254208778,96.7392420081557,7.01478445691854,1,-9.02794903766683,0.01,99
"Brevipalpus_chilensis",37,48.9271015945947,148.836831578792,17.2276268869993,1,-5.79939016787007,0.01,99
"Brevipalpus_lewisi",21,55.7166609047621,171.191539858404,24.0554876558329,1,-4.80035493795704,0.01,99
"Broad_bean_wilt_virus",29,49.6342765172517,160.729366564026,20.978701457726,1,-5.29561328048072,0.01,99
"Bromus_tectorum",5,109.452727,234.832298054569,48.8722089513736,1,-2.56545741935499,0.01,99
"Cactodera_milleri",3,83.933782,256.738064424286,74.7369133407123,1,-2.31216777225602,0.01,99
"Cadra_figulilella",2,271.51613,282.021493555563,120.332367883061,75,-0.0873028906550878,0.75,99
"Calepitrimerus_vitis",1,NA,NA,NA,NA,NA,NA,99
"Campylocarpon_fasciculare",1,NA,NA,NA,NA,NA,NA,99
"Candidatus_Phytoplasma_asteris",696,37.7777561940968,50.2021414205221,1.71551098371509,1,-7.24238162528066,0.01,99
"Candidatus_Phytoplasma_australiense",75,102.616566493331,117.816500060299,11.628783231864,12,-1.30709578671301,0.12,99
"Candidatus_Phytoplasma_solani",268,31.9015714541788,72.0350581064443,4.21681833338134,1,-9.51748059302419,0.01,99
"Carnation_ringspot_virus",17,56.155278,178.459711012699,29.2803948772861,1,-4.17700763685994,0.01,99
"Ceratitis_capitata",305,38.4706878996692,68.7079886425045,4.14268080395538,1,-7.2989694774372,0.01,99
"Ceratitis_rosa",140,46.7161240285714,92.6240300256711,6.88874932814651,1,-6.66418587907185,0.01,99
"Ceresa_alta",212,19.7572321792453,79.5843499467626,4.15431352924794,1,-14.4012042775086,0.01,99
"Ceroplastes_actiniformis",95,29.5936361432885,107.340117378213,10.0043164611463,1,-7.77129367477206,0.01,99
"Ceroplastes_cirripediformis",760,23.9039085342461,49.0792770553448,1.80145726155822,1,-13.9750018267559,0.01,99
"Ceroplastes_rusci",620,22.9464424393784,52.4476042778687,2.07349465888653,1,-14.2277491345613,0.01,99
"Ceroplastes_sinensis",41,32.9129563658537,144.872690895283,17.8804214535636,1,-6.26158252590378,0.01,99
"Cerosterna_scabrator",81,54.4026462222222,113.539396912991,10.3947756982963,1,-5.68908386358555,0.01,99
"Chaetocnema_confinis",138,56.1150191739131,93.3626771550108,6.45621561147318,1,-5.76927107497862,0.01,99
"Cherry_leaf_roll_virus",121,51.5389603223141,98.0071037522733,8.51263599819534,1,-5.45872552753464,0.01,99
"Chinavia_hilaris",316,23.1254716613934,68.6214481558469,3.25234260537597,1,-13.9886789353775,0.01,99
