"","Family","Species","New.Genus","New.Species"
"1","Caprifoliaceae","Abelia chinensis","Abelia","chinensis"
"3","Caprifoliaceae","Vesalea floribunda","Vesalea","floribunda"
"4","Caprifoliaceae","Abelia grandiflora","Abelia","grandiflora"
"7","Caprifoliaceae","Diabelia spathulata","Diabelia","spathulata"
"9","Malvaceae","Abelmoschus esculentus","Abelmoschus","esculentus"
"93","Malvaceae","Abelmoschus manihot","Abelmoschus","manihot"
"102","Malvaceae","Abelmoschus moschatus","Abelmoschus","moschatus"
"107","Pinaceae","Abies alba","Abies","alba"
"129","Pinaceae","Abies amabilis","Abies","amabilis"
"132","Pinaceae","Abies balsamea","Abies","balsamea"
"143","Pinaceae","Abies beshanzuensis","Abies","beshanzuensis"
"145","Pinaceae","Abies borisii-regis","Abies","borisii-regis"
"148","Pinaceae","Abies nordmanniana","Abies","nordmanniana"
"149","Pinaceae","Abies bracteata","Abies","bracteata"
"151","Pinaceae","Abies cephalonica","Abies","cephalonica"
"153","Pinaceae","Abies concolor","Abies","concolor"
"166","Pinaceae","Picea abies","Picea","abies"
"167","Pinaceae","Abies firma","Abies","firma"
"176","Pinaceae","Abies fraseri","Abies","fraseri"
"177","Pinaceae","Abies grandis","Abies","grandis"
"184","Pinaceae","Abies holophylla","Abies","holophylla"
"185","Pinaceae","Abies homolepis","Abies","homolepis"
"187","Pinaceae","Abies lasiocarpa","Abies","lasiocarpa"
"191","Pinaceae","Abies magnifica","Abies","magnifica"
"195","Pinaceae","Abies mariesii","Abies","mariesii"
"197","Pinaceae","Abies sachalinensis","Abies","sachalinensis"
"207","Pinaceae","Abies pindrow","Abies","pindrow"
"209","Pinaceae","Abies pinsapo","Abies","pinsapo"
"210","Pinaceae","Abies procera","Abies","procera"
"223","Pinaceae","Abies veitchii","Abies","veitchii"
"224","Malvaceae","Abroma augusta","Abroma","augusta"
"225","Leguminosae","Abrus precatorius","Abrus","precatorius"
"228","Malvaceae","Abutilon anglosomaliae","Abutilon","anglosomaliae"
"229","Malvaceae","Abutilon indicum","Abutilon","indicum"
"230","Malvaceae","Abutilon auritum","Abutilon","auritum"
"231","Malvaceae","Abutilon theophrasti","Abutilon","theophrasti"
"233","Malvaceae","Abutilon eetveldeanum","Abutilon","eetveldeanum"
