,ntaxa,mntd.obs,mntd.rand.mean,mntd.rand.sd,mntd.obs.rank,mntd.obs.z,mntd.obs.p,runs,Type
Agrobacterium_vitis,1,NA,NA,NA,NA,NA,NA,999,B
Alternaria_alternata,963,36.72946693,43.96284336,1.214505963,1,-5.955817966,0.001,999,F
Ampeloglypter_ater,1,NA,NA,NA,NA,NA,NA,999,P
Aspergilus_niger,3,67.76730633,251.6632284,64.2840051,1,-2.86067929,0.001,999,F
Botrytis_cinerea,1022,41.38405088,42.99826196,1.169536381,85,-1.380214507,0.085,999,F
Calosphaeria_alnicola,4,233.6587525,243.2553205,56.41283266,412,-0.17011321,0.412,999,F
closterovirus ,1,NA,NA,NA,NA,NA,NA,999,V
Daktulosphaira_vitifoliae,1,NA,NA,NA,NA,NA,NA,999,P
Elsino‘_ampelina,7,49.41658786,223.2117715,42.37137555,1,-4.101712097,0.001,999,F
Erostella_minima,2,242.574508,283.9707226,126.1588208,298.5,-0.328127786,0.2985,999,F
Erysiphe_necator ,7,52.55785886,222.6685606,43.13574803,1,-3.943613116,0.001,999,V
Eutypa_lata,123,54.08438212,93.46342247,6.930940062,1,-5.681630485,0.001,999,F
Grapevine Leafroll_Associated Viruses,1,NA,NA,NA,NA,NA,NA,999,V
Grapevinephytoplasma_diseases,1,NA,NA,NA,NA,NA,NA,999,V
Greeneria_uvicola,4,56.304864,244.4444603,57.29036902,2,-3.283965517,0.002,999,F
Guignardia_Bidwellii,13,58.67118354,198.2167435,31.25160348,1,-4.465228802,0.001,999,F
Helicotylenchus_pseudorobustus,19,159.0109958,180.444379,26.74344241,227,-0.801444437,0.227,999,B
Lasiodiplodia_theobromae,701,42.7117115,49.22619492,1.666165594,1,-3.909865526,0.001,999,F
Meloidogyne_arenaria,35,95.38836434,148.8478174,17.32822264,2,-3.085108855,0.002,999,N
Meloidogyne_hapla,20,139.0810839,177.6330011,24.23313843,56,-1.590875957,0.056,999,N
Meloidogyne_incognita,53,89.23392319,128.4579606,13.63543995,2,-2.876624267,0.002,999,N
Meloidogyne_javanica,31,133.0376694,155.273484,20.06542567,132,-1.108165611,0.132,999,P
Mesocriconema_xenoplax,156,44.53546109,86.24601097,5.945993832,1,-7.014899621,0.001,999,N
Mycosphaerella_angulata,3,67.76730633,251.6632284,64.2840051,1,-2.86067929,0.001,999,F
Otiorhynchus_sulcatus,3,244.2058287,253.3848535,62.95732996,519,-0.145797555,0.519,999,P
Paratrichodorus_minor,131,54.63674795,92.07485348,6.792006894,1,-5.51208297,0.001,999,N
Phaeoacremonium_aleophilum,14,127.9614498,193.474167,30.37951761,9,-2.156476546,0.009,999,F
Phaeoacremonium_minimum,25,138.6517916,165.1980966,21.66871955,110,-1.225098,0.11,999,F
Phaeomoniella_aleophilum,2,69.871644,283.0889511,127.2545023,13,-1.675518769,0.013,999,F
Phaeomoniella_chlamydospora,2,69.871644,283.0889511,127.2545023,13,-1.675518769,0.013,999,F
Phomopsis_viticola,4,56.304864,244.4444603,57.29036902,2,-3.283965517,0.002,999,F
Planococcus_ficus,13,135.6529502,197.4279405,32.15667486,24,-1.921062751,0.024,999,P
Plasmopara_viticola,27,56.28635874,161.1390213,21.09042061,1,-4.971577594,0.001,999,F
Pleurostoma_minimum,3,238.9629737,251.4347882,62.34246821,359,-0.200053268,0.359,999,N
Popillia_japonica,6,233.2083362,231.4867438,47.08902679,557,0.036560373,0.557,999,P
Pseudocercospora_vitis,13,56.75958431,197.3857681,31.84903824,1,-4.415398127,0.001,999,F
Pseudococcus_longispinus,142,81.18696411,89.27907631,6.467199364,101,-1.251254483,0.101,999,N
Pseudococcus_viburni,164,64.34571189,84.73486801,5.639506416,1,-3.615415005,0.001,999,P
Pseudomonas_syringae,3,87.05907,252.654149,60.04579293,2,-2.757813178,0.002,999,B
Pseudopezicula_tetrsaspora,7,52.55785886,222.6685606,43.13574803,1,-3.943613116,0.001,999,F
Sourrot_yeasts,2,242.574508,282.3933729,128.601265,289,-0.30963043,0.289,999,B
Togninia_minima,8,132.1805241,216.8408338,42.27008229,16,-2.00284232,0.016,999,F
TomRSV,7,97.36491071,223.5589106,44.10917193,1,-2.860946926,0.001,999,V
Tylenchorhynchus_clarus,63,68.2722923,120.7464998,11.69455675,1,-4.487062539,0.001,999,N
Tylenchulus_semipenetrans,10,143.809889,209.3346574,37.50422337,30,-1.74713039,0.03,999,N
Xiphinema_americanum,137,58.19994794,90.73987168,6.914178246,1,-4.706260466,0.001,999,N
Xiphinema_index,23,74.11029083,168.7547892,22.48274712,1,-4.209650086,0.001,999,N
Xylella_fastidiosa,41,62.41875512,141.4181072,16.17762586,1,-4.883247564,0.001,999,B
Xylophilus_ampelinus,1,NA,NA,NA,NA,NA,NA,999,B
