"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Acanthacris_ruficornis",16,28.656319,150.638106332833,25.9306836538451,1,-4.70414852771323,0.001,999
"Achatina_fulica",101,45.7621708415842,70.0453533063459,6.71605693035491,1,-3.61569038448853,0.001,999
"Acoloithus_falsarius",1,NA,NA,NA,NA,NA,NA,999
"Agriotes_lineatus",28,54.3669803928571,123.883851932575,19.0607477127979,1,-3.64712195907418,0.001,999
"Agrotis_segetum",65,46.3906371076923,86.169398997305,9.79664983881688,1,-4.06044541185895,0.001,999
"Albonectria_rigidiuscula",39,66.712482025641,107.95745387893,14.8242230452588,4,-2.78226870490055,0.004,999
"Aleurocanthus_spiniferus",16,36.3050900625,149.967812643081,27.8149010497358,1,-4.08639679779339,0.001,999
"Alfalfa_mosaic_virus",39,38.127932,107.726757320038,15.3529967358035,1,-4.53324041668895,0.001,999
"Alternaria_alternata",320,31.903798159375,40.0854562019113,2.15325907667016,2,-3.79966262823727,0.002,999
"Altica_ampelophaga",1,NA,NA,NA,NA,NA,NA,999
"Ameroseius_sp.",1,NA,NA,NA,NA,NA,NA,999
"Ampeloglypter_ater",3,1.52168466666667,244.170546712379,58.6348009169024,1,-4.13830793745844,0.001,999
"Ampelophaga_rubiginosa",2,0.594936,274.963933851852,87.4248655748012,1,-3.13834051728796,0.001,999
"Amphicerus_bimaculatus",2,233.75492,278.102524174174,85.698595875568,218,-0.517483439735298,0.218,999
"Amphicerus_hamatus",1,NA,NA,NA,NA,NA,NA,999
"Amyelois_transitella",13,62.4751822307692,162.751336159159,30.4227335505514,3,-3.29609283011232,0.003,999
"Anacridium_rubrispinum",4,157.42676475,223.423978906907,51.3643451708997,139,-1.28488378343617,0.139,999
"Anastrepha_fraterculus",57,59.1309339298246,91.9316379234146,11.1264965329262,2,-2.94798132516594,0.002,999
"Anomala_cuprea",3,236.156657333333,241.212096012679,57.0152984797661,496,-0.088668108632986,0.496,999
"Anomala_dubia",1,NA,NA,NA,NA,NA,NA,999
"Antispila_oinophylla",1,NA,NA,NA,NA,NA,NA,999
"Anystis_baccarum",2,233.75492,272.381193262262,85.1986983120867,216,-0.453366941367724,0.216,999
"Aonidiella_aurantii",105,49.4906249904762,68.5931750480099,6.56322966489732,3,-2.91054115623921,0.003,999
