"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Acanthacris_ruficornis",44,102.714329725159,271.44615618209,24.4344947457539,1,-6.90547638543876,0.01,99
"Achatina_fulica",361,240.693913839854,272.960123131713,7.72583361689767,1,-4.17640488934268,0.01,99
"Acoloithus_falsarius",1,NA,NA,NA,NA,NA,NA,99
"Adoretus_sinicus",197,218.718749379096,273.463279505315,11.9154232757425,1,-4.59442596870797,0.01,99
"Agriotes_lineatus",123,345.559195421579,273.064658680357,14.6749774619181,100,4.94001009060134,1,99
"Agrotis_segetum",177,225.589811266666,274.361407392414,13.3228829158047,1,-3.66073892820082,0.01,99
"Albonectria_rigidiuscula",62,271.278184143124,272.209977719969,16.2739577320763,52,-0.0572567283376723,0.52,99
"Aleurocanthus_spiniferus",173,203.133826931577,272.332825097935,12.0792713736777,1,-5.72873942687894,0.01,99
"Alfalfa_mosaic_virus",108,204.286780541364,273.614680699422,13.1078887571221,1,-5.28902109581833,0.01,99
"Alternaria_alternata",1092,293.393120767346,273.401242564508,4.76615289405578,100,4.1945524298583,1,99
"Altica_ampelophaga",1,NA,NA,NA,NA,NA,NA,99
"Amaranthus_blitum",11,236.167629054545,267.348145401363,40.836847702519,14,-0.763538767094763,0.14,99
"Ameroseius_pavidus",1,NA,NA,NA,NA,NA,NA,99
"Ametastegia",242,162.272508186859,273.494920731147,9.10036556376272,1,-12.2217521664373,0.01,99
"Ampelophaga_rubiginosa",6,149.233444666667,268.055731086328,58.223406997163,1,-2.04079926867645,0.01,99
"Amphicerus_bicaudatus",1,NA,NA,NA,NA,NA,NA,99
"Amphicerus_bimaculatus",2,242.574508,258.705212526274,90.2045103235777,31,-0.178823702588821,0.31,99
"Amyelois_transitella",39,66.201858731444,270.342852135651,23.8758414799155,1,-8.55010675020319,0.01,99
"Anacridium_rubrispinum",20,81.1979448789474,278.694857499207,38.6187623625028,1,-5.1140145498816,0.01,99
"Anagallis_arvensis",42,229.3270114832,272.762236867549,23.6461735151307,1,-1.83688178370829,0.01,99
"Anastrepha_fraterculus",149,166.433557749683,270.676521508328,11.8302696356718,1,-8.81154588770503,0.01,99
"Anomala_cuprea",9,255.568591722222,281.824000258917,55.3837507562002,61,-0.474063388235866,0.61,99
"Anomala_dubia",2,650.100056,263.437753535351,116.751458959737,96,3.31184129012036,0.96,99
"Antispila_oinophylla",1,NA,NA,NA,NA,NA,NA,99
"Anystis_baccarum",2,242.574508,258.705212526274,90.2045103235777,31,-0.178823702588821,0.31,99
"Aonidiella_aurantii",1531,282.030393842054,273.301622951321,4.32131930000251,97,2.01993194317491,0.97,99
"Aonidiella_inornata",248,209.490366352315,274.510323814789,9.98524095628628,1,-6.51160625438287,0.01,99
"Aonidiella_orientalis",1139,243.307186787344,273.030793773186,4.77383168277394,1,-6.22636258691264,0.01,99
"Apate_monachus",143,154.336532497902,272.930672387617,12.2869148681414,1,-9.65206816865117,0.01,99
"Aphis_fabae",299,188.827554635184,272.686363562462,10.0502185529733,1,-8.3439786393967,0.01,99
"Aphis_gossypii",154,221.083703889356,273.330600169478,12.7736185172988,1,-4.09021893125791,0.01,99
"Aphis_illinoisensis",1,NA,NA,NA,NA,NA,NA,99
"Aphis_spiraecola",355,190.4620971598,271.468388227939,7.23626852816207,1,-11.1944838355403,0.01,99
"Arabis_mosaic_virus",158,218.478429736141,271.878957617318,10.8386218521445,1,-4.92687433971238,0.01,99
"Arboridia_adanae",1,NA,NA,NA,NA,NA,NA,99
"Arboridia_kakogowana",1,NA,NA,NA,NA,NA,NA,99
"Argyrotaenia_ljungiana",6,305.667783866667,268.36232806465,53.415311512595,84,0.698403786210629,0.84,99
"Armillaria_luteobubalina",357,233.921888847481,272.375596592513,7.88589218800154,1,-4.87626597324528,0.01,99
"Armillaria_mellea",1135,316.249143565689,273.047934237994,4.73049930268441,100,9.1324840283096,1,99
"Artichoke_Italian_latent_virus",14,139.532352241758,270.096107499183,38.2631451977645,1,-3.41225883503829,0.01,99
"Aspergillus_niger",361,245.256049593117,272.625808077895,7.90776724342147,1,-3.46112342994745,0.01,99
"Aspidiotus_destructor",855,238.387336999262,273.673771029089,5.19428485020056,1,-6.7933190126192,0.01,99
"Aspidiotus_ligusticus",22,152.759959930736,276.646913223647,36.9685463021646,1,-3.3511448429785,0.01,99
"Aspidiotus_nerii",1892,289.923935037457,273.736847210669,2.88808714612947,100,5.60477818284727,1,99
"Asterococcus_muratae",202,197.241549759468,272.675352008261,10.8647424211913,1,-6.94299039263566,0.01,99
"Asymmetrasca_decedens",75,170.566788868468,273.766902662041,18.8631463141455,1,-5.47099153422686,0.01,99
"Autographa_gamma",46,204.879778666692,275.816820453826,24.4003757427256,1,-2.90721104195629,0.01,99
"Bactrocera_tryoni",142,235.189916576846,272.713357285006,12.2956487291885,1,-3.05176583477727,0.01,99
"Botryosphaeria_dothidea",475,268.489288096159,272.102681977822,7.30297271762172,34,-0.494783976522821,0.34,99
"Botryosphaeria_obtusa",246,283.992901337384,272.537213191163,9.74904085955737,87,1.17505796839394,0.87,99
"Botryosphaeria_parva",293,275.997736489761,272.174771003454,8.68771150847557,69,0.44004286774229,0.69,99
"Botryosphaeria_stevensii",204,329.220525143195,272.878795559984,11.0990647158965,100,5.07625921871746,1,99
"Botryotinia_fuckeliana",1148,310.821232649044,273.390436438023,5.04315790064065,100,7.42209483590958,1,99
"Botryotinia_pseudofuckeliana",6,227.609260133433,274.078399182485,70.8038105555631,13,-0.656308448435624,0.13,99
"Botrytis_prunorum",4,221.503495666667,269.192782009778,72.8484675849692,11,-0.65463678130892,0.11,99
"Botrytis_pseudocinerea",24,87.3273931630685,274.337513213568,36.4867535829308,1,-5.12542502926286,0.01,99
"Brevipalpus_californicus",131,220.271528626049,272.925916761979,14.1868338010618,1,-3.71149679162296,0.01,99
"Brevipalpus_chilensis",37,210.062620366366,272.073988560166,25.6039701449649,1,-2.42194346590405,0.01,99
"Brevipalpus_lewisi",21,131.118395295238,272.204173662754,32.8769914607837,1,-4.2913226575432,0.01,99
"Broad_bean_wilt_virus",29,212.947799788217,272.669726533142,29.3489116856698,1,-2.03489408345202,0.01,99
"Bromus_tectorum",5,196.1317442,268.546034451718,60.2549942104979,1,-1.20179731490376,0.01,99
"Cactodera_milleri",3,165.701128,261.567063434343,65.8177195078705,1,-1.45653687412977,0.01,99
"Cadra_figulilella",2,271.51613,266.751764325256,103.463976637202,79,0.0460485458765103,0.79,99
"Calepitrimerus_vitis",1,NA,NA,NA,NA,NA,NA,99
"Campylocarpon_fasciculare",1,NA,NA,NA,NA,NA,NA,99
"Candidatus_Phytoplasma_asteris",696,265.847722411741,273.873570293998,5.67308717874398,8,-1.41472317089155,0.08,99
"Candidatus_Phytoplasma_australiense",75,206.172136493688,271.562285091747,17.5161303759726,1,-3.73313895218298,0.01,99
"Candidatus_Phytoplasma_solani",268,212.687132394397,273.649904128946,9.93654328455061,1,-6.13520919587139,0.01,99
"Carnation_ringspot_virus",17,182.997547367647,273.030304748577,35.4060473783861,1,-2.54286383393057,0.01,99
"Ceratitis_capitata",305,224.454193319227,272.234002111483,9.68999746899266,1,-4.9308381085906,0.01,99
"Ceratitis_rosa",140,222.878607495581,271.162800314802,12.439753891966,1,-3.88144277117934,0.01,99
"Ceresa_alta",212,161.208613246043,272.097856099964,11.3105511025858,1,-9.80405303403557,0.01,99
"Ceroplastes_actiniformis",95,126.215543433816,271.31066486796,14.9174258929772,1,-9.72655218635623,0.01,99
"Ceroplastes_cirripediformis",760,231.024257981683,272.682355427733,5.09200019309082,1,-8.1810871693552,0.01,99
"Ceroplastes_rusci",620,234.21414798483,271.954208199147,6.42709319121992,1,-5.87202629423104,0.01,99
"Ceroplastes_sinensis",41,86.6085815243903,271.428138629331,24.7654607654512,1,-7.46279501339912,0.01,99
"Cerosterna_scabrator",81,73.3736594537037,272.063753754145,15.6514113860033,1,-12.6947078062318,0.01,99
"Chaetocnema_confinis",138,202.983968009741,273.427865228424,12.7383199918284,1,-5.53007753486115,0.01,99
"Cherry_leaf_roll_virus",121,212.737250703306,274.399239117336,15.4236326708447,1,-3.99789010345078,0.01,99
"Chinavia_hilaris",316,214.552111511394,274.216101937233,9.87829248030307,1,-6.03990928035452,0.01,99
"Chlidaspis_asiatica",95,64.8766089173573,270.486541485604,15.4440271873737,1,-13.3132330106453,0.01,99
"Chorizococcus_viticola",1,NA,NA,NA,NA,NA,NA,99
"Chrysomphalus_aonidum",1055,290.895253331327,273.787064241589,4.75025194800269,100,3.6015329875148,1,99
"Chrysomphalus_dictyospermi",1525,276.919598714387,273.383018102167,3.90955275111254,82,0.90459979372663,0.82,99
"Chrysomphalus_pinnulifer",362,271.824747202496,272.195088341653,7.36646758786377,44,-0.0502739114425096,0.44,99
