"","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"Acanthacris_ruficornis",4,172.941266375,204.735207834459,34.4429562585965,235,-0.923089795798935,0.235,999
"Achatina_fulica",79,275.272147492389,270.261576062673,8.20350865946821,714,0.610783950832164,0.714,999
"Acoloithus_falsarius",1,NA,NA,NA,NA,NA,NA,999
"Adoretus_sinicus",29,277.711260508918,263.706585677382,14.2505127898055,832,0.982748834242239,0.832,999
"Agriotes_lineatus",23,265.898983833648,262.090393302421,15.6068093642653,568,0.244033898430728,0.568,999
"Agrotis_segetum",48,254.461760981771,267.650013285755,10.978883510013,116,-1.20123802133036,0.116,999
"Albonectria_rigidiuscula",22,263.384756045455,262.003771717842,15.8803519231685,511,0.0869618213937665,0.511,999
"Aleurocanthus_spiniferus",9,223.567704592593,242.242703780571,25.282198213769,206,-0.738662003599333,0.206,999
"Alfalfa_mosaic_virus",35,165.036049113469,265.522874620874,12.8658398851682,1,-7.81035877986066,0.001,999
"Alternaria_alternata",213,268.590625013732,272.607926372566,4.0332498753055,154,-0.996045740540712,0.154,999
"Altica_ampelophaga",1,NA,NA,NA,NA,NA,NA,999
"Amaranthus_blitum",10,241.168262,247.04926184014,24.0870562500505,347,-0.24415602218423,0.347,999
"Ameroseius_pavidus",1,NA,NA,NA,NA,NA,NA,999
"Ametastegia",5,184.86132352,218.802950163443,32.5955441907827,220,-1.04129651724119,0.22,999
"Ampelophaga_rubiginosa",2,0.297468,135.611519438939,41.2279394344223,1,-3.28209591105496,0.001,999
"Amphicerus_bicaudatus",1,NA,NA,NA,NA,NA,NA,999
"Amphicerus_bimaculatus",2,116.87746,136.134001275275,41.9421661527396,223,-0.459121286324346,0.223,999
"Amyelois_transitella",5,178.53441264,218.420060641281,32.1005453591571,158,-1.24252244175358,0.158,999
"Anacridium_rubrispinum",3,219.30842,181.865955245468,38.7334727585139,697,0.966669448617983,0.697,999
"Anagallis_arvensis",31,258.620557023933,264.468005294606,13.9432970499318,328,-0.419373427226881,0.328,999
"Anastrepha_fraterculus",42,233.461996586168,267.339559238284,11.5215492784162,3,-2.9403652090071,0.003,999
"Anomala_cuprea",4,161.577836875,205.370518124499,34.1761420829961,107,-1.2813816475584,0.107,999
"Anomala_dubia",1,NA,NA,NA,NA,NA,NA,999
"Antispila_oinophylla",1,NA,NA,NA,NA,NA,NA,999
"Anystis_baccarum",2,116.87746,136.134001275275,41.9421661527396,223,-0.459121286324346,0.223,999
"Aonidiella_aurantii",73,275.098340830925,269.528027229868,8.73101792109065,736,0.637991314575269,0.736,999
"Aonidiella_inornata",14,282.800115877551,253.796106363231,19.7378330964056,951,1.46946270001656,0.951,999
"Aonidiella_orientalis",66,266.379838070707,269.331358992437,9.38197432783128,359,-0.314594862296119,0.359,999
"Apate_monachus",22,243.42381131405,261.479391094437,16.3627137369598,145,-1.10345875816456,0.145,999
"Aphis_fabae",36,227.128364478395,266.04014870506,12.5977289560607,2,-3.08879357242757,0.002,999
"Aphis_gossypii",68,256.551259404844,269.697038390939,9.02522189935785,81,-1.45656019682237,0.081,999
"Aphis_illinoisensis",1,NA,NA,NA,NA,NA,NA,999
"Aphis_spiraecola",35,241.178410164898,266.01911814644,12.2901114512134,31,-2.02119468811569,0.031,999
"Arabis_mosaic_virus",21,230.861891773243,261.088130741027,17.0156418390126,51,-1.7763795955368,0.051,999
"Arboridia_adanae",1,NA,NA,NA,NA,NA,NA,999
"Arboridia_kakogowana",1,NA,NA,NA,NA,NA,NA,999
"Argyrotaenia_ljungiana",4,102.190493,205.945694913539,34.9636592910754,1,-2.96751552947499,0.001,999
"Armillaria_luteobubalina",17,191.803331640138,256.419455060735,19.4488087762302,3,-3.32236920852289,0.003,999
"Armillaria_mellea",91,245.678088471441,270.591610750366,7.5691087726951,3,-3.29147367637245,0.003,999
"Artichoke_Italian_latent_virus",3,112.607086222222,182.311391455011,38.5370662225746,35,-1.80876003456528,0.035,999
"Aspergillus_niger",122,265.81102755469,271.614074193922,6.00604077679946,158,-0.966201671765062,0.158,999
"Aspidiotus_destructor",79,288.813266355392,269.939615662794,8.29141986915609,994,2.27628693160348,0.994,999
"Aspidiotus_ligusticus",2,119.1655055,137.474004786787,42.0300969500912,372.5,-0.435604498094003,0.3725,999
"Aspidiotus_nerii",74,274.957415718773,269.693871733066,8.79905049785105,719,0.598194542353381,0.719,999
"Asterococcus_muratae",8,188.69244628125,238.870571168919,27.1162554133282,55,-1.85048134865278,0.055,999
"Asymmetrasca_decedens",14,190.411602357143,253.563633419971,20.0167417180935,3,-3.15496058010999,0.003,999
"Autographa_gamma",23,232.056976438563,261.745359486882,15.7385529506485,41,-1.88634769291769,0.041,999
"Bactrocera_tryoni",79,238.843000266624,270.440610157458,8.10608920185827,1,-3.89800915139087,0.001,999
"Botryosphaeria_dothidea",55,217.122985065785,268.926083799178,10.1350539730585,1,-5.11128000611524,0.001,999
"Botryosphaeria_obtusa",47,214.35320830421,268.45706323654,10.4209597740286,1,-5.19183032134614,0.001,999
"Botryosphaeria_parva",36,229.780343628086,266.01781731508,12.373719913605,4,-2.92858363855082,0.004,999
"Botryosphaeria_stevensii",24,218.161770368056,263.046800869908,15.4297118398533,9,-2.90899991961738,0.009,999
"Botryotinia_fuckeliana",180,253.374176210556,272.505899777046,4.70448811125864,1,-4.06669612379406,0.001,999
"Botryotinia_pseudofuckeliana",4,175.287238875,205.350889775526,34.8988351856518,319,-0.861451413509808,0.319,999
"Botrytis_prunorum",4,154.698049625,204.872118691316,34.966272780822,69,-1.43492757666283,0.069,999
"Botrytis_pseudocinerea",4,175.287238875,205.350889775526,34.8988351856518,319,-0.861451413509808,0.319,999
"Brevipalpus_californicus",11,232.359761487603,247.784696442558,22.6370503706689,264,-0.681402157188344,0.264,999
"Brevipalpus_chilensis",7,201.958597714286,234.554696318277,28.004762839736,185,-1.16394838944114,0.185,999
"Brevipalpus_lewisi",7,177.773590857143,234.377373164103,28.4276984246484,22,-1.99114896540064,0.022,999
"Broad_bean_wilt_virus",24,190.847286569444,262.382973375518,15.6742913851352,1,-4.56388649721765,0.001,999
"Bromus_tectorum",5,201.37310592,218.272040491211,32.1799270390193,338,-0.5251389958318,0.338,999
"Cactodera_milleri",2,119.165506,136.206536933433,39.7249170185583,402.5,-0.428975872384387,0.4025,999
"Cadra_figulilella",2,188.2832425,136.383738012513,42.2599231598491,820.5,1.2281021972325,0.8205,999
"Calepitrimerus_vitis",1,NA,NA,NA,NA,NA,NA,999
"Campylocarpon_fasciculare",1,NA,NA,NA,NA,NA,NA,999
"Candidatus_Phytoplasma_asteris",89,267.366805837142,270.495611820627,7.18061726390152,316,-0.435729390454207,0.316,999
"Candidatus_Phytoplasma_australiense",10,192.10597176,246.911818243223,22.7637393482933,17,-2.40759418497437,0.017,999
"Candidatus_Phytoplasma_solani",43,237.992198124392,267.70468450696,11.4479686438573,9,-2.59543743583815,0.009,999
"Carnation_ringspot_virus",5,93.41271616,218.762911384344,31.7001505754266,1,-3.95424605085358,0.001,999
"Ceratitis_capitata",88,236.967912283574,270.950627501675,7.49771436631217,1,-4.53240995293014,0.001,999
"Ceratitis_rosa",52,242.197295472633,268.330163579753,10.2331028972622,10,-2.55375797248275,0.01,999
"Ceresa_alta",11,144.228116595041,247.499521616592,23.3247395185361,1,-4.42754805212212,0.001,999
"Ceroplastes_actiniformis",11,288.96751414876,248.256626536421,22.2195998721308,975,1.8322061534241,0.975,999
