,ntaxa,mntd.obs,mntd.rand.mean,mntd.rand.sd,mntd.obs.rank,mntd.obs.z,mntd.obs.p,runs,Type,category,bodysize
Agrobacterium_vitis,1,NA,NA,NA,NA,NA,NA,999,B,S,
Alternaria_alternata,279,33.71938084,38.92742279,2.150925454,10,-2.421302857,0.01,999,F,G,
Ampeloglypter_ater,3,1.521684667,241.1796858,54.25220525,1,-4.417479438,0.001,999,P,S,3.5
Aspergilus_niger,2,3.375182,271.8035346,83.47621736,4.5,-3.215626691,0.0045,999,F,S,
Botrytis_cinerea,261,30.67370529,40.34551679,2.434155034,1,-3.973375305,0.001,999,F,G,
Calosphaeria_alnicola,14,23.04453943,154.6233493,29.16905119,1,-4.51090469,0.001,999,F,G,
closterovirus ,3,1.521684667,241.1796858,54.25220525,1,-4.417479438,0.001,999,V,S,
Daktulosphaira_vitifoliae,3,1.521684667,241.1796858,54.25220525,1,-4.417479438,0.001,999,P,S,1
Elsino‘_ampelina,2,3.375182,271.8035346,83.47621736,4.5,-3.215626691,0.0045,999,F,S,
Erostella_minima,1,NA,NA,NA,NA,NA,NA,999,F,S,
Erysiphe_necator ,2,0.594936,274.7343555,85.21608402,1,-3.216991518,0.001,999,V,S,
Eutypa_lata,42,35.01805814,98.98456966,13.671654,1,-4.678769043,0.001,999,F,G,
Grapevine Leafroll_Associated Viruses,3,1.521684667,241.1796858,54.25220525,1,-4.417479438,0.001,999,V,S,
Grapevinephytoplasma_diseases,3,1.521684667,241.1796858,54.25220525,1,-4.417479438,0.001,999,V,S,
Greeneria_uvicola,2,3.375182,271.8035346,83.47621736,4.5,-3.215626691,0.0045,999,F,S,
Guignardia_Bidwellii,2,3.375182,271.8035346,83.47621736,4.5,-3.215626691,0.0045,999,F,S,
Helicotylenchus_pseudorobustus,20,137.713773,135.3470562,23.96505848,549,0.098756981,0.549,999,B,G,
Lasiodiplodia_theobromae,193,44.7711415,46.51624466,3.655440679,327,-0.477398845,0.327,999,F,G,
Meloidogyne_arenaria,31,89.40334645,113.4060533,17.8728219,98,-1.342972418,0.098,999,N,G,1.64
Meloidogyne_hapla,34,66.59915503,108.9375147,16.28685486,3,-2.599541778,0.003,999,N,G,1.14
Meloidogyne_incognita,58,74.09778531,85.06819926,11.01947599,164,-0.995547698,0.164,999,N,G,1.58
Meloidogyne_javanica,36,93.20010317,105.3652232,15.84437283,232,-0.767788047,0.232,999,P,G,
Mesocriconema_xenoplax,106,24.47460685,62.63435968,6.454357268,1,-5.912246757,0.001,999,N,G,0.62
Mycosphaerella_angulata,2,3.375182,271.8035346,83.47621736,4.5,-3.215626691,0.0045,999,F,S,
Otiorhynchus_sulcatus,9,18.020719,178.4885631,35.91399297,1,-4.468114817,0.001,999,P,G,10
Paratrichodorus_minor,114,37.06468646,60.19576756,5.893373555,1,-3.924930412,0.001,999,N,G,0.71
Phaeoacremonium_aleophilum,18,36.624306,139.6282999,25.37797195,1,-4.058795324,0.001,999,F,S,
Phaeoacremonium_minimum,17,84.23826553,142.5145086,26.53077373,14,-2.196552715,0.014,999,F,S,
Phaeomoniella_aleophilum,1,NA,NA,NA,NA,NA,NA,999,F,S,
Phaeomoniella_chlamydospora,1,NA,NA,NA,NA,NA,NA,999,F,S,
Phomopsis_viticola,2,3.375182,271.8035346,83.47621736,4.5,-3.215626691,0.0045,999,F,S,
Planococcus_ficus,16,116.2111213,146.0550641,26.86633652,130,-1.110830379,0.13,999,P,G,4
Plasmopara_viticola,3,1.521684667,241.1796858,54.25220525,1,-4.417479438,0.001,999,F,G,
Pleurostoma_minimum,1,NA,NA,NA,NA,NA,NA,999,N,S,
Popillia_japonica,30,44.23135523,114.0585027,17.75029112,1,-3.933859284,0.001,999,P,G,15
Pseudocercospora_vitis,3,1.521684667,241.1796858,54.25220525,1,-4.417479438,0.001,999,F,S,
Pseudococcus_longispinus,50,100.4678769,91.85733248,12.69757926,770,0.678124879,0.77,999,N,G,1.13
Pseudococcus_viburni,56,87.54440313,86.44595373,11.28590508,551,0.097329314,0.551,999,P,G,1.5
Pseudomonas_syringae,3,86.79201633,237.8577853,58.50068547,16,-2.582290579,0.016,999,B,G,
Pseudopezicula_tetrsaspora,2,0.594936,274.7343555,85.21608402,1,-3.216991518,0.001,999,F,S,
Sourrot_yeasts,13,19.41781292,156.7826188,30.74707783,1,-4.467572713,0.001,999,B,G,
Togninia_minima,6,128.9273328,200.3136998,46.10689722,80,-1.548279569,0.08,999,F,S,
TomRSV,2,235.069476,271.467339,84.3487432,246.5,-0.431516365,0.2465,999,V,G,
Tylenchorhynchus_clarus,124,28.83478458,57.91835782,5.541845383,1,-5.247994347,0.001,999,N,G,0.59
Tylenchulus_semipenetrans,13,72.46123954,156.7526797,31.0882915,5,-2.711356467,0.005,999,N,G,0.35
Xiphinema_americanum,162,29.81680586,50.44088472,4.239642744,1,-4.864579423,0.001,999,N,G,2.2
Xiphinema_index,25,49.22924632,124.1692238,20.11616977,1,-3.725360163,0.001,999,N,S,0.33
Xylella_fastidiosa,17,35.18507859,142.8603331,25.82650598,1,-4.169176216,0.001,999,B,G,0.035
Xylophilus_ampelinus,1,NA,NA,NA,NA,NA,NA,999,B,S,
