"","ntaxa","mntd.obs","mntd.rand.mean","mntd.rand.sd","mntd.obs.rank","mntd.obs.z","mntd.obs.p","runs"
"Alternaria_alternata",757,43.0262829752497,48.8996269788123,1.5238054057757,1,-3.85439241867807,0.001,999
"Aspergilus_niger",1,NA,NA,NA,NA,NA,NA,999
"Botrytis_cinerea",839,46.2777043272354,47.2502936774516,1.38902367166455,227,-0.700196382579071,0.227,999
"Calosphaeria_alnicola",3,230.686834333333,255.545816690141,68.1011888526209,247.5,-0.365030079145984,0.2475,999
"Elsino‘_ampelina",5,51.0681318,239.480521543889,54.2310411902972,1,-3.4742535936706,0.001,999
"Erostella_minima",1,NA,NA,NA,NA,NA,NA,999
"Erysiphe_necator ",5,55.6935488,240.065874248037,53.5792315615703,1,-3.44111552320728,0.001,999
"Eutypa_lata",98,57.3725338709388,103.548210890976,8.70276358702369,1,-5.30586365564247,0.001,999
"Greeneria_uvicola",2,51.513832,289.596930682846,134.459204646352,5,-1.77067162719756,0.005,999
"Guignardia_Bidwellii",11,61.1045390909091,207.21287830759,35.838082670295,1,-4.07690167358717,0.001,999
"Lasiodiplodia_theobromae",529,48.3834817053353,55.435776686764,2.07080846881206,2,-3.40557569067426,0.002,999
"Meloidogyne_arenaria",4,215.659286750075,247.127187286768,58.3985920224297,221,-0.538846904470006,0.221,999
"Meloidogyne_hapla",2,271.5161290003,291.708119795783,137.3791929169,784,-0.146979978312265,0.784,999
"Meloidogyne_incognita",11,148.041068909091,207.00116938391,35.5407163821747,41,-1.6589451895345,0.041,999
"Meloidogyne_javanica",3,116.299827333267,261.08828988587,72.4464397629613,13,-1.99855870110856,0.013,999
"Mesocriconema_xenoplax",96,57.6412222708334,104.364497303053,8.71329939101,1,-5.36229422811137,0.001,999
"Mycosphaerella_angulata",1,NA,NA,NA,NA,NA,NA,999
"Otiorhynchus_sulcatus",1,NA,NA,NA,NA,NA,NA,999
"Paratrichodorus_minor",58,82.4800091035621,125.558240027442,13.0462141282775,2,-3.3019717827955,0.002,999
"Phaeoacremonium_aleophilum",3,371.080771,261.505346936904,71.7853676622314,856,1.52643118829838,0.856,999
"Phaeoacremonium_minimum",9,281.872951222222,216.831279505205,39.8441848536384,948,1.63240061143021,0.948,999
"Phaeomoniella_aleophilum",1,NA,NA,NA,NA,NA,NA,999
"Phaeomoniella_chlamydospora",1,NA,NA,NA,NA,NA,NA,999
"Phomopsis_viticola",2,51.513832,289.596930682846,134.459204646352,5,-1.77067162719756,0.005,999
"Planococcus_ficus",1,NA,NA,NA,NA,NA,NA,999
"Plasmopara_viticola",24,58.7329419166667,169.002677839631,23.2064541332782,1,-4.7516839621283,0.001,999
"Pleurostoma_minimum",2,237.157207,287.819097895894,133.152658815057,211.5,-0.380479754191474,0.2115,999
"Popillia_japonica",1,NA,NA,NA,NA,NA,NA,999
"Pseudocercospora_vitis",9,56.233176,216.905984891775,38.960254415934,1,-4.12401847217053,0.001,999
"Pseudococcus_longispinus",89,90.7022851225843,106.901042705054,9.03988336661508,37,-1.79192108189064,0.037,999
"Pseudococcus_viburni",106,75.3996945096038,101.188604425855,7.99087168347519,1,-3.22729621219945,0.001,999
"Pseudopezicula_tetrsaspora",5,55.6935488,240.065874248037,53.5792315615703,1,-3.44111552320728,0.001,999
"Togninia_minima",2,247.468473,293.527520461448,138.926778807575,452,-0.331534696599017,0.452,999
"TomRSV",4,108.30282275,245.871071498727,59.5216271084107,2,-2.31123131930122,0.002,999
"Tylenchorhynchus_clarus",19,143.257884263158,180.069679328093,25.3025869498355,78,-1.45486290148584,0.078,999
"Tylenchulus_semipenetrans",3,235.244557666667,256.107254278262,65.9506349385372,322,-0.316338070604453,0.322,999
"Xiphinema_americanum",77,77.1163360778806,113.159165094213,10.1816756674207,1,-3.53997025574702,0.001,999
"Xiphinema_index",4,97.9795452500001,249.189653398986,58.1447084227082,3,-2.60058244767001,0.003,999
"Xylella_fastidiosa",22,73.6211542272728,173.667189835128,23.9552181186112,1,-4.1763775688658,0.001,999
