,ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,Type
Agrobacterium_vitis,1,NA,NA,NA,NA,NA,NA,999,B
Alternaria_alternata,963,267.3978531,285.4255771,4.218082335,1,-4.273914674,0.001,999,F
Ampeloglypter_ater,1,NA,NA,NA,NA,NA,NA,999,P
Aspergilus_niger,3,49.62581111,189.598407,66.91198852,1,-2.09189114,0.001,999,F
Botrytis_cinerea,1022,297.459094,285.3457557,3.971693418,999,3.049917749,0.999,999,F
Calosphaeria_alnicola,4,181.2313064,212.9904403,64.73595844,326,-0.490594944,0.326,999,F
closterovirus ,1,NA,NA,NA,NA,NA,NA,999,V
Daktulosphaira_vitifoliae,1,NA,NA,NA,NA,NA,NA,999,P
Elsino‘_ampelina,7,57.82951608,244.5272912,55.10556028,1,-3.388002484,0.001,999,F
Erostella_minima,2,121.287254,141.1794006,63.89799065,310,-0.311310989,0.31,999,F
Erysiphe_necator ,7,53.59533208,247.4324664,58.36293823,1,-3.321236733,0.001,999,V
Eutypa_lata,123,225.9308209,283.9848959,14.81359559,1,-3.918972592,0.001,999,F
Grapevine Leafroll_Associated Viruses,1,NA,NA,NA,NA,NA,NA,999,V
Grapevinephytoplasma_diseases,1,NA,NA,NA,NA,NA,NA,999,V
Greeneria_uvicola,4,49.012038,215.2721467,67.05699437,1,-2.479385041,0.001,999,F
Guignardia_Bidwellii,13,67.97024312,263.7001706,43.91362883,1,-4.457156757,0.001,999,F
Helicotylenchus_pseudorobustus,19,236.3341981,272.2544851,38.59399553,312,-0.930722162,0.312,999,B
Lasiodiplodia_theobromae,701,279.7715332,285.24563,5.458643135,164,-1.002831051,0.164,999,F
Meloidogyne_arenaria,35,232.3388649,278.2368167,27.89436075,16,-1.645420458,0.016,999,N
Meloidogyne_hapla,20,223.7205851,271.5875293,36.25693037,22,-1.320215022,0.022,999,N
Meloidogyne_incognita,53,239.6587538,280.6065857,22.57586539,30,-1.813787922,0.03,999,N
Meloidogyne_javanica,31,230.5971532,276.8949434,29.97549337,17,-1.544521372,0.017,999,P
Mesocriconema_xenoplax,156,270.8912529,284.7325171,13.52119244,153,-1.023671857,0.153,999,N
Mycosphaerella_angulata,3,49.62581111,189.598407,66.91198852,1,-2.09189114,0.001,999,F
Otiorhynchus_sulcatus,3,163.8914338,191.0065056,69.57049485,443,-0.38974959,0.443,999,P
Paratrichodorus_minor,131,278.1922334,284.2161476,14.36076017,356,-0.419470425,0.356,999,N
Phaeoacremonium_aleophilum,14,243.5225754,263.3431456,43.40870664,503,-0.456603565,0.503,999,F
Phaeoacremonium_minimum,25,244.4695776,274.7603357,34.44463757,274,-0.879404175,0.274,999,F
Phaeomoniella_aleophilum,2,34.935822,146.5995487,69.09704938,7,-1.616041896,0.007,999,F
Phaeomoniella_chlamydospora,2,34.935822,146.5995487,69.09704938,7,-1.616041896,0.007,999,F
Phomopsis_viticola,4,49.012038,215.2721467,67.05699437,1,-2.479385041,0.001,999,F
Planococcus_ficus,13,218.7989817,262.6154621,43.39798982,80,-1.009643087,0.08,999,P
Plasmopara_viticola,27,69.74983901,275.8960418,31.0113089,1,-6.647452498,0.001,999,F
Pleurostoma_minimum,3,160.5124938,187.2809806,65.85316024,289,-0.406487505,0.289,999,N
Popillia_japonica,6,214.1270551,240.3101862,60.27724564,628,-0.434378361,0.628,999,P
Pseudocercospora_vitis,13,64.44823683,264.6647916,44.05924209,1,-4.544257805,0.001,999,F
Pseudococcus_longispinus,142,312.6402269,283.8480488,13.52907471,982,2.128170527,0.982,999,N
Pseudococcus_viburni,164,263.2700724,284.5215442,13.05044905,46,-1.62840924,0.046,999,P
Pseudomonas_syringae,3,111.5091813,190.4666082,68.37899931,7,-1.154702872,0.007,999,B
Pseudopezicula_tetrsaspora,7,53.59533208,247.4324664,58.36293823,1,-3.321236733,0.001,999,F
Sourrot_yeasts,2,121.287254,142.4137064,62.876026,294.5,-0.336001712,0.2945,999,B
Togninia_minima,8,177.8760879,250.2073886,55.7454008,3,-1.297529476,0.003,999,F
TomRSV,7,178.1498247,246.2269662,55.47116914,3,-1.22725269,0.003,999,V
Tylenchorhynchus_clarus,63,245.9657075,281.6637151,20.89347196,28,-1.708572307,0.028,999,N
Tylenchulus_semipenetrans,10,196.8869211,258.8281379,48.06907613,4,-1.288587628,0.004,999,N
Xiphinema_americanum,137,302.3153429,284.0405148,13.99368442,901,1.305933991,0.901,999,N
Xiphinema_index,23,193.9736478,271.7465872,33.88748598,1,-2.295034206,0.001,999,N
Xylella_fastidiosa,41,189.269635,277.3777635,25.4770418,1,-3.458334337,0.001,999,B
Xylophilus_ampelinus,1,NA,NA,NA,NA,NA,NA,999,B
