"","my.paths","FPD","SES.FPD"
"1","Agrobacterium_vitis",NA,NA
"2","Alternaria_alternata",267.799525838129,-0.404808730514666
"3","Ampeloglypter_ater",1.985059,-6.37261364529233
"4","Aspergilus_niger",3.375182,-4.31966722343026
"5","Botrytis_cinerea",251.205638242308,-5.71958065235572
"6","Calosphaeria_alnicola",235.069479846154,-1.98211710637342
"7","closterovirus ",1.985059,-6.14097259844629
"8","Daktulosphaira_vitifoliae",1.985059,-6.11755386160634
"9","Elsino‘_ampelina",3.375182,-4.20623175009738
"10","Erostella_minima",NA,NA
"11","Erysiphe_necator ",0.594936,-4.28786886323419
"12","Eutypa_lata",223.941847536585,-4.72784647198633
"13","Grapevine Leafroll_Associated Viruses",1.985059,-5.98812631442116
"14","Grapevinephytoplasma_diseases",1.985059,-6.25615789058292
"15","Greeneria_uvicola",3.375182,-4.39315804119146
"16","Guignardia_Bidwellii",3.375182,-4.35904094383878
"17","Helicotylenchus_pseudorobustus",302.249362842105,2.26801106835053
"18","Lasiodiplodia_theobromae",266.061310348958,-0.740485378896125
"19","Meloidogyne_arenaria",278.453223,0.8193852022644
"20","Meloidogyne_hapla",240.562444666667,-2.58798102929586
"21","Meloidogyne_incognita",265.493278929825,-0.411424369840481
"22","Meloidogyne_javanica",292.748963457143,2.37545486115049
"23","Mesocriconema_xenoplax",275.192030114286,1.11911824118107
"24","Mycosphaerella_angulata",3.375182,-4.18919220054532
"25","Otiorhynchus_sulcatus",177.613759,-4.27428671975499
"26","Paratrichodorus_minor",275.340139743363,1.21054691236001
"27","Phaeoacremonium_aleophilum",216.546700764706,-3.4472686265056
"28","Phaeoacremonium_minimum",244.564106125,-1.57074171730618
"29","Phaeomoniella_aleophilum",NA,NA
"30","Phaeomoniella_chlamydospora",NA,NA
"31","Phomopsis_viticola",3.375182,-4.38910778470729
"32","Planococcus_ficus",244.088782533333,-1.54391873327145
"33","Plasmopara_viticola",1.985059,-6.19108800389502
"34","Pleurostoma_minimum",NA,NA
"35","Popillia_japonica",228.707777034483,-3.61184047929475
"36","Pseudocercospora_vitis",1.985059,-5.84631384594938
"37","Pseudococcus_longispinus",274.091866122449,0.694181302658018
"38","Pseudococcus_viburni",255.050461381818,-1.69044714830297
"39","Pseudomonas_syringae",238.331013,-0.715304992701786
"40","Pseudopezicula_tetrsaspora",0.594936,-4.36464122305422
"41","Sourrot_yeasts",195.236158,-4.14289618373147
"42","Togninia_minima",243.4680772,-0.936249317127703
"43","TomRSV",235.069476,-0.544479608533357
"44","Tylenchorhynchus_clarus",261.209238105691,-1.53828067062325
"45","Tylenchulus_semipenetrans",234.2458095,-2.02883623795484
"46","Xiphinema_americanum",255.533815950311,-3.09790825736593
"47","Xiphinema_index",234.874666166667,-2.65979535848147
"48","Xylella_fastidiosa",220.7893244375,-3.18179125171894
"49","Xylophilus_ampelinus",NA,NA
